Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Lexus RX 2006 Black,"₦ 4,800,000",₦ 3.95 M ~ 4.4 M,"Anambra, Awka",https://pictures-nigeria.jijistatic.com/114218750_NjIwLTgyNy05MWFjNWZiZWRm.webp,https://pictures-nigeria.jijistatic.com/114218750_MTExLTE0OC05MWFjNWZiZWRm.webp | https://pictures-nigeria.jijistatic.com/114218747_MTExLTgzLTc3Yzg1MTZlZDA.webp | https://pictures-nigeria.jijistatic.com/114218748_MTExLTE0OC02MzZjZTliNDMw.webp | https://pictures-nigeria.jijistatic.com/114218749_MTExLTgzLTY1ZTMzNmQ3MGQ.webp | https://pictures-nigeria.jijistatic.com/114218757_MTExLTE0OC1iYjUyZTNlOTli.webp,Automatic,,Dozie Dozie,https://jiji.ng/awka-south/cars/lexus-rx-2006-black-zk67y1ouyBZKeahpUWHFV1RH.html,No faults,Lexus,RX,2006,,,,,,,Black,,,,
Lexus RX 350 AWD 2012 Gray,"₦ 8,000,000",₦ 8.18 M ~ 8.54 M,"Ekiti, Ado Ekiti",https://pictures-nigeria.jijistatic.com/116497647_NjIwLTYyMC0yODYwZTYyNDRm.webp,https://pictures-nigeria.jijistatic.com/116497647_MTExLTExMS0yODYwZTYyNDRm.webp | https://pictures-nigeria.jijistatic.com/116497650_MTExLTExMS05NWYzNDY2N2Zk.webp | https://pictures-nigeria.jijistatic.com/116497652_MTExLTExMS1jNDVkYWU4OTY4.webp | https://pictures-nigeria.jijistatic.com/116497811_MTExLTExMS1iYjhkN2ZmNTI5.webp | https://pictures-nigeria.jijistatic.com/116497662_MTExLTExMS1iZjk4OGRlYzBj.webp,Automatic,,Eclat Multi-Biz,https://jiji.ng/ado-ekiti/cars/lexus-rx-350-awd-2012-gray-fc4tokKRcbPj9wplNClWUSlE.html,"No faults, Unpainted",Lexus,RX,2012,350 AWD,SUV,,,,,Gray,,,,
Toyota Highlander 2015 Silver,"₦ 16,000,000,",₦ 16.98 M ~ 17.02 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/117222710_NjIwLTQ2NS0xYWNlN2VlNzQ1.webp,https://pictures-nigeria.jijistatic.com/117222710_MTExLTgzLTFhY2U3ZWU3NDU.webp | https://pictures-nigeria.jijistatic.com/117222711_MTExLTgzLTI2MmU0MTA3YzA.webp | https://pictures-nigeria.jijistatic.com/117222709_MTExLTgzLTFmOWVkNDQ4YmI.webp | https://pictures-nigeria.jijistatic.com/117222720_MTExLTgzLTczYzdkNWE1ZTQ.webp | https://pictures-nigeria.jijistatic.com/117222718_MTExLTgzLTNkNjY5ZDUwNTg.webp,Automatic,,1st CORE Autos,https://jiji.ng/ikeja/cars/toyota-highlander-2015-silver-fLirCpNoSnJWzgibRQT0L1ad.html,No faults,Toyota,Highlander,2015,XLE 4dr SUV (3.5L 6cyl 6A),SUV,Front Wheel,3500           cc,6,270           hp,Silver,7-8,No,,
Toyota Venza XLE AWD 2013 White,"₦ 14,500,000,",₦ 11.48 M ~ 11.96 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115954492_NjIwLTQ2NS03NmQ0NDg1NDVm.webp,https://pictures-nigeria.jijistatic.com/115954492_MTExLTgzLTc2ZDQ0ODU0NWY.webp | https://pictures-nigeria.jijistatic.com/115954494_MTExLTgzLWI3M2FmMjU0MDg.webp | https://pictures-nigeria.jijistatic.com/115954495_MTExLTE0OC05NTE1MDY4NWU1.webp | https://pictures-nigeria.jijistatic.com/115954491_MTExLTgzLTVlZDZiODkxYjc.webp | https://pictures-nigeria.jijistatic.com/115954498_MTExLTE0OC1jZjUxODM5YzVk.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Assist | Parking Sensors | Sunroof,M O D Automobile NIG,https://jiji.ng/gwarinpa/cars/toyota-venza-xle-awd-2013-white-pidjgfW7uaV3lOuOkmiiIHpT.html,"Original parts, Unpainted, No faults",Toyota,Venza,2013,XLE AWD,Crossover,All Wheel,2700           cc,4,181           hp,White,5,No,,
Toyota Camry 2015 Blue,"₦ 7,900,000",₦ 8.5 M ~ 8.84 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/114721111_NjIwLTgyOS0wOGQzNThjZTBj.webp,https://pictures-nigeria.jijistatic.com/114721111_MTExLTE0OC0wOGQzNThjZTBj.webp | https://pictures-nigeria.jijistatic.com/114721117_MTExLTE0OC1hMjA3ZGM2M2Iy.webp | https://pictures-nigeria.jijistatic.com/114721128_MTExLTE0OC1kNDRjZDg2YTRk.webp | https://pictures-nigeria.jijistatic.com/114721133_MTExLTE0OC03MTNkMDYwOTBk.webp | https://pictures-nigeria.jijistatic.com/114721186_MTExLTE0OC1mYjZhOGFjNTlm.webp,Automatic,Electric Mirrors | CD Player | Cup Holders | Cruise Control | Roof Rack | Android Auto | Blind Spot Monitor | Armrests | AM/FM Radio | Traction Control | Leather Seats | Electric Windows | Airbags | Sunroof | Air Conditioning | LED Headlights | Anti-Lock Brakes | Alloy Wheels | Front Fog Lamps | Bullbar,Precious Madise,https://jiji.ng/alimosho/cars/toyota-camry-2015-blue-1ufOrprw0ytQRnXtKMxwQiBj.html,No faults,Toyota,Camry,2015,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500           cc,4,178           hp,Blue,5,No,,
Pontiac Solstice Pitbull V8 2007 Blue,"₦ 3,550,000",,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/114442915_NjIwLTQ2NS0xMGMzZjA0MmVl.webp,https://pictures-nigeria.jijistatic.com/114442915_MTExLTgzLTEwYzNmMDQyZWU.webp | https://pictures-nigeria.jijistatic.com/114442914_MTExLTgzLWMxMWY1NTAxN2Y.webp | https://pictures-nigeria.jijistatic.com/114442917_MTExLTgzLTM1ZmE5NzdjM2Q.webp | https://pictures-nigeria.jijistatic.com/114442916_MTExLTgzLWNiYzM1ZWE1YTU.webp | https://pictures-nigeria.jijistatic.com/114442985_MTExLTY4LTg2YzZiMzMyZWE.webp,Manual,,TPL AUTOS,https://jiji.ng/yaba/cars/pontiac-solstice-pitbull-v8-2007-blue-eJtOhdYDzSVW67NV3BkIYGki.html,No faults,Pontiac,Solstice,2007,Pitbull V8,Coupe,Rear Wheel,,8,,Blue,2,Yes,,Yes
Toyota Highlander 2012 Burgandy,"₦ 11,200,000,",₦ 10.5 M ~ 11.13 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116216848_NjIwLTgyNy0zZDM1N2Q4NTQ1.webp,https://pictures-nigeria.jijistatic.com/116216848_MTExLTE0OC0zZDM1N2Q4NTQ1.webp | https://pictures-nigeria.jijistatic.com/116221259_MTExLTE0OC0yYzk4OGY4ODIw.webp | https://pictures-nigeria.jijistatic.com/116216828_MTExLTgzLWQ4ZDYzNDI1MzU.webp | https://pictures-nigeria.jijistatic.com/116216831_MTExLTgzLTVlY2E5YjNhMWM.webp | https://pictures-nigeria.jijistatic.com/116216818_MTExLTgzLWM0MTMyMjA0MmQ.webp,Automatic,,Crisp Cars,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-2012-burgandy-17newglMW3MUbJHxFQN0SAq3.html,No faults,Toyota,Highlander,2012,,,,,,,Burgandy,,No,,
Lexus ES 2006 White,"₦ 5,650,000",₦ 2.85 M ~ 3 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117186185_NjIwLTQ2NS1lNWU3MDYwOTRi.webp,https://pictures-nigeria.jijistatic.com/117186185_MTExLTgzLWU1ZTcwNjA5NGI.webp | https://pictures-nigeria.jijistatic.com/117186184_MTExLTgzLWI5NzU5NzkyYmM.webp | https://pictures-nigeria.jijistatic.com/117186176_MTExLTgzLTdmNWVmYTAyMzI.webp | https://pictures-nigeria.jijistatic.com/117186183_MTExLTgzLTYzMjgxM2Q4N2Q.webp | https://pictures-nigeria.jijistatic.com/117186178_MTExLTgzLTJiYWNjMTc3NGE.webp,Automatic,,Stanford Azubuike,https://jiji.ng/port-harcourt/cars/lexus-es-2006-white-umcp4vmeMbdT9lC9W5AHGzHH.html,No faults,Lexus,ES,2006,,,,,,,White,,Yes,,
New Lexus LX 2022 Black,"₦ 385,000,000",₦ 225 M ~ 249.5 M,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/108560702_NjIwLTQ2NS05OTgwYjZiODFi.webp,https://pictures-nigeria.jijistatic.com/108560702_MTExLTgzLTk5ODBiNmI4MWI.webp | https://pictures-nigeria.jijistatic.com/108560691_MTExLTgzLTA1ODNhOTRkYTA.webp | https://pictures-nigeria.jijistatic.com/108560701_MTExLTgzLWZkNjY1ZjFmMDY.webp | https://pictures-nigeria.jijistatic.com/108560695_MTExLTg0LTBkYzRkMDAzMzY.webp | https://pictures-nigeria.jijistatic.com/108560687_MTExLTgzLTUxZmQzZjY2OGE.webp,Automatic,,Allen Cars.,https://jiji.ng/ikoyi-obalende/cars/new-lexus-lx-2022-black-oUiRVmCNywR6cc2XnJGLnNZN.html,No faults,Lexus,LX,2022,,,,,,,Black,,No,,No
Toyota Highlander Limited V6 2005 Red,"₦ 6,000,000",₦ 5.6 M ~ 5.92 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/101222510_NjIwLTQ2NS0zZjk3YzUxYmMz.webp,https://pictures-nigeria.jijistatic.com/101222510_MTExLTgzLTNmOTdjNTFiYzM.webp | https://pictures-nigeria.jijistatic.com/101222548_MTExLTgzLWEyYzA1MzZhNDA.webp | https://pictures-nigeria.jijistatic.com/101222551_MTExLTgzLWM5N2ZmMTlkYTU.webp | https://pictures-nigeria.jijistatic.com/101222562_MTExLTgzLWY2M2ZhYWQ3MWY.webp | https://pictures-nigeria.jijistatic.com/101222563_MTExLTgzLTI5MGZmNTA3MWE.webp,Automatic,,Ik promise Autos,https://jiji.ng/ikeja/cars/toyota-highlander-limited-v6-2005-red-xtSGSfmHQQBZVxDt3LSFt1Wu.html,"Unpainted, No faults",Toyota,Highlander,2005,Limited V6,SUV,,3300           cc,6,233           hp,Red,7,No,,
Toyota Coaster 2011 Gold,"₦ 18,000,000",,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/115526752_NjIwLTM0OC0xZjMzZDBmNTk3.webp,https://pictures-nigeria.jijistatic.com/115526752_MTExLTYyLTFmMzNkMGY1OTc.webp | https://pictures-nigeria.jijistatic.com/115526755_MTExLTYyLWE4MTFkZWY4MTM.webp | https://pictures-nigeria.jijistatic.com/115526757_MTExLTgzLTUyZGMwNjMwYjU.webp | https://pictures-nigeria.jijistatic.com/115526758_MTExLTgzLWU0MTY2N2IyMWM.webp | https://pictures-nigeria.jijistatic.com/115526759_MTExLTgzLTU2YWNmZDg3YmI.webp,Manual,,Ifeakanwa Joseph,https://jiji.ng/surulere/cars/toyota-coaster-2011-gold-5ua2M9hwuPqhDT57bOkade9c.html,"No faults, Unpainted",Toyota,Coaster,2011,,,,,,,Gold,,No,,
Honda Odyssey 3.0 2WD 2003 Gray,"₦ 1,900,000",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117214020_NjIwLTQ2NS03YWNjZjgwOGJj.webp,https://pictures-nigeria.jijistatic.com/117214020_MTExLTgzLTdhY2NmODA4YmM.webp | https://pictures-nigeria.jijistatic.com/117214018_MTExLTgzLWEyMWZjMmZmMGI.webp | https://pictures-nigeria.jijistatic.com/117214017_MTExLTE0OC1lNGE5N2RjN2E1.webp | https://pictures-nigeria.jijistatic.com/117214019_MTExLTE0OC0xMWYyOTBjMmMx.webp | https://pictures-nigeria.jijistatic.com/117214021_MTExLTgzLTAyMmMyNDdjY2Y.webp,Automatic,,Blu Rack Logistics,https://jiji.ng/gwarinpa/cars/honda-odyssey-3-0-2wd-2003-gray-fKA5dvJS5LZsWDAiQ0lyvgoB.html,"Unpainted, No faults, Original parts",Honda,Odyssey,2003,3.0 2WD,Minivan,Front Wheel,3000           cc,6,210           hp,Gray,7,Yes,,No
Dodge RAM 2022 White,"₦ 51,000,000",,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/109938195_NjIwLTgyNy0yODYyOGQ0YTc2LTE.webp,https://pictures-nigeria.jijistatic.com/109938195_MTExLTE0OC0yODYyOGQ0YTc2LTE.webp | https://pictures-nigeria.jijistatic.com/109938193_MTExLTE0OC03Zjg4MzIyMTA3LTE.webp | https://pictures-nigeria.jijistatic.com/109938188_MTExLTE0OC1lYzg0N2QwMDkwLTE.webp | https://pictures-nigeria.jijistatic.com/109938192_MTExLTE0OC01YzQyYTFjMDBiLTE.webp | https://pictures-nigeria.jijistatic.com/109938197_MTExLTE0OC1mM2YxMDcwMjFmLTE.webp,Automatic,,Kingsunique.cars,https://jiji.ng/ojodu/cars/dodge-ram-2022-white-3GMKmP50xybqRR2jNuc70d3m.html,No faults,Dodge,RAM,2022,,,,,,,White,,,,
Toyota 4-Runner 2005 Silver,"₦ 2,150,000,",₦ 2.84 M ~ 3.41 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/117153663_NjIwLTQ2NS0yMmQxZGI2YjE5.webp,https://pictures-nigeria.jijistatic.com/117153663_MTExLTgzLTIyZDFkYjZiMTk.webp | https://pictures-nigeria.jijistatic.com/117153659_MTExLTgzLTcxNzNmNzc5NmI.webp | https://pictures-nigeria.jijistatic.com/117153660_MTExLTgzLTg1ZTg3NzNiZDg.webp | https://pictures-nigeria.jijistatic.com/117153662_MTExLTgzLWFiNzA3YmI5ZmQ.webp | https://pictures-nigeria.jijistatic.com/117153667_MTExLTgzLTM5ODJiODY2ZTg.webp,Automatic,,Olafocus,https://jiji.ng/ifako-ijaiye/cars/toyota-4-runner-2005-silver-gjTEau00sc2AuhWFqfEk5gxV.html,"First owner, No faults, First registration",Toyota,4-Runner,2005,,,,,,,Silver,,Yes,,
Lexus RX 330 2005 Silver,"₦ 3,550,000",₦ 4.2 M ~ 4.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117200789_NjIwLTgyNy05Y2JmOTVhYjQw.webp,https://pictures-nigeria.jijistatic.com/117200789_MTExLTE0OC05Y2JmOTVhYjQw.webp | https://pictures-nigeria.jijistatic.com/117200787_MTExLTkwLThmNzgxZjBmMjg.webp | https://pictures-nigeria.jijistatic.com/117200788_MTExLTE0OC1iMTkyMDZkYTI4.webp | https://pictures-nigeria.jijistatic.com/117200792_MTExLTE0OC1jODdmNjI4MjY3.webp | https://pictures-nigeria.jijistatic.com/117200790_MTExLTE0OC04MTRjZmZiYWYx.webp,Automatic,,Chris Mathew,https://jiji.ng/amuwo-odofin/cars/lexus-rx-330-2005-silver-fytxbqVYhJr22peCq969U6Fm.html,"First registration, No faults",Lexus,RX,2005,330,SUV,Front Wheel,3300           cc,6,234           hp,Silver,5,,,
Mercedes-Benz C300 2012 White,"₦ 8,500,000,",₦ 7.18 M ~ 7.56 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116818437_NjIwLTgyNy1jNTRiMTQ1NmZk.webp,https://pictures-nigeria.jijistatic.com/116818437_MTExLTE0OC1jNTRiMTQ1NmZk.webp | https://pictures-nigeria.jijistatic.com/116818428_MTExLTE0OC0zYTAyYzM2NmMy.webp | https://pictures-nigeria.jijistatic.com/116818440_MTExLTE0OC0wNWIzZTdmZjE5.webp | https://pictures-nigeria.jijistatic.com/116818431_MTExLTgzLTBmNTUxMjMxYjY.webp | https://pictures-nigeria.jijistatic.com/116818407_MTExLTgzLTI2OTA3N2U2ZWM.webp,Automatic,,Alphatop,https://jiji.ng/lagos-abule-egba/cars/mercedes-benz-c300-2012-white-ASGgWrnf4MFjWOFC0drMaGdI.html,No faults,Mercedes-Benz,C300,2012,,,,,,,White,,No,,
Lexus RX 350 2011 Gray,"₦ 5,800,000",₦ 8 M ~ 8.25 M,"Anambra, Awka",https://pictures-nigeria.jijistatic.com/97430634_NjIwLTgyNy00YmYxYjRlNDM1.webp,https://pictures-nigeria.jijistatic.com/97430634_MTExLTE0OC00YmYxYjRlNDM1.webp | https://pictures-nigeria.jijistatic.com/97430649_MTExLTE0OC00NWFiZDI5OTVl.webp | https://pictures-nigeria.jijistatic.com/97430662_MTExLTgzLTI4MjgwZTdmZTg.webp | https://pictures-nigeria.jijistatic.com/97430652_MTExLTgzLWQ2YjM0NjMxOGI.webp | https://pictures-nigeria.jijistatic.com/97430664_MTExLTE0OC1jZWZjZjVkNDhm.webp,Automatic,,Dozie Dozie,https://jiji.ng/awka-south/cars/lexus-rx-350-2011-gray-n0o0JfC0PnVoGrg5UamWmqKk.html,First owner,Lexus,RX 350,2011,,,,,,,Gray,,Yes,,
Mercedes-Benz E350 2011 Gray,"₦ 5,700,000,",₦ 5.8 M ~ 6 M,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/116874530_NjIwLTQ2NS0yNGI0ODA0ZGUw.webp,https://pictures-nigeria.jijistatic.com/116874530_MTExLTgzLTI0YjQ4MDRkZTA.webp | https://pictures-nigeria.jijistatic.com/116874531_MTExLTgzLTAxZDEwNzk4MDY.webp | https://pictures-nigeria.jijistatic.com/116874537_MTExLTgzLWY0NzM4MDhkZDA.webp | https://pictures-nigeria.jijistatic.com/116874533_MTExLTgzLTQzZDA3MzBiOTk.webp | https://pictures-nigeria.jijistatic.com/116874538_MTExLTgzLTQ0NWYyNmFmZTA.webp,Automatic,,WHEELS ON FIRE,https://jiji.ng/kubwa/cars/mercedes-benz-e350-2011-gray-2N65aLhbulhJBtbLBE5E7zEJ.html,"No faults, Original parts, First owner",Mercedes-Benz,E350,2011,,,,,,,Gray,,Yes,,
Mercedes-Benz M Class ML 350 4Matic 2008 White,"₦ 5,500,000",₦ 6.5 M ~ 6.9 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/113736558_NjIwLTgyNy1mNzY4YWMwMGYy.webp,https://pictures-nigeria.jijistatic.com/113736558_MTExLTE0OC1mNzY4YWMwMGYy.webp | https://pictures-nigeria.jijistatic.com/113724835_MTExLTgzLThkZGMzM2NhMjM.webp | https://pictures-nigeria.jijistatic.com/113736552_MTExLTE0OC05ZDQ0YjM4YmIy.webp | https://pictures-nigeria.jijistatic.com/113736554_MTExLTE0OC1lYTg0NmY0OWZi.webp | https://pictures-nigeria.jijistatic.com/113736566_MTExLTE0OC00NjdlOTA2Y2U2.webp,Automatic,,Stansylvie exotic cars,https://jiji.ng/owerri-municipal/cars/mercedes-benz-m-class-ml-350-4matic-2008-white-qgiccb8RNreEDmr3T5kMzOYW.html,No faults,Mercedes-Benz,M Class,2008,ML 350 4Matic,SUV,All Wheel,3500           cc,6,268           hp,White,5,,,
Toyota Highlander Limited 2008 Gold,"₦ 9,200,000,",₦ 8.3 M ~ 8.7 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116852365_NjIwLTQ2NS03MzVlMjVhOGZh.webp,https://pictures-nigeria.jijistatic.com/116852365_MTExLTgzLTczNWUyNWE4ZmE.webp | https://pictures-nigeria.jijistatic.com/116852312_MTExLTgzLWIyZjk3MTU2N2U.webp | https://pictures-nigeria.jijistatic.com/116852330_MTExLTE0OC0zZGRmZTk2NTYw.webp | https://pictures-nigeria.jijistatic.com/116852331_MTExLTgzLTM1MTdiYTJlYzk.webp | https://pictures-nigeria.jijistatic.com/116852332_MTExLTgzLTUzZDU3OTA0Nzg.webp,Automatic,,Wheelers Automobiles,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-limited-2008-gold-rOGyvcsy1parLoQlgoFbeJRc.html,"No faults, Unpainted",Toyota,Highlander,2008,Limited,SUV,Front Wheel,3500           cc,6,275           hp,Gold,7,No,,
Toyota Avalon 2012 Black,"₦ 5,250,000,",,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117215473_NjIwLTgyNy1lNDExNDc5YWI3.webp,https://pictures-nigeria.jijistatic.com/117215473_MTExLTE0OC1lNDExNDc5YWI3.webp | https://pictures-nigeria.jijistatic.com/117215477_MTExLTE0OC04OTY4MDdiMzA4.webp | https://pictures-nigeria.jijistatic.com/117215480_MTExLTgzLTAyYjUzNTRlZWE.webp | https://pictures-nigeria.jijistatic.com/117215484_MTExLTgzLWZhYTAwMGEwNTE.webp | https://pictures-nigeria.jijistatic.com/117215486_MTExLTgzLTdiY2EyMjk3MDM.webp,Automatic,Alloy Wheels | Airbags | Air Conditioning | AM/FM Radio | CD Player,AAA Automobiles,https://jiji.ng/surulere/cars/toyota-avalon-2012-black-ij9RoADC7geU6PDPDfJzao69.html,"First registration, First owner, No faults",Toyota,Avalon,2012,Limited Sedan FWD (3.5L 6cyl 6A),Sedan,Front Wheel,3500           cc,6,268           hp,Black,5,Yes,,Yes
Acura MDX 2008,"₦ 2,000,000,",₦ 3.3 M ~ 3.5 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117216325_NjIwLTgyNy02YTZkY2U2NTll.webp,https://pictures-nigeria.jijistatic.com/117216325_MTExLTE0OC02YTZkY2U2NTll.webp | https://pictures-nigeria.jijistatic.com/117216326_MTExLTE0OC1mYmQ3NTBjM2Fh.webp | https://pictures-nigeria.jijistatic.com/117216327_MTExLTgzLTViZDRiMmY5MDA.webp | https://pictures-nigeria.jijistatic.com/117216328_MTExLTgzLTUzNDdjNzEyNDg.webp | https://pictures-nigeria.jijistatic.com/117216341_MTExLTgzLWI5Y2M5YWE1ZmI.webp,Automatic,,Tamunomiesam Godswill,https://jiji.ng/port-harcourt/cars/acura-mdx-2008-GwcqAbG9IC2uDhdpXm8sS6Q.html,No faults,Acura,MDX,2008,,,,,,,Other,,Yes,,No
Lexus RX 350 4x4 2007 Black,"₦ 6,700,000,",₦ 6.72 M ~ 7.3 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/117186348_NjIwLTQ2NS1iMjE0ZTI5ZjI5.webp,https://pictures-nigeria.jijistatic.com/117186348_MTExLTgzLWIyMTRlMjlmMjk.webp | https://pictures-nigeria.jijistatic.com/117186347_MTExLTgzLTRhNDhiODgwMmU.webp | https://pictures-nigeria.jijistatic.com/117186350_MTExLTE0OC02NTgzMjRkYTFk.webp | https://pictures-nigeria.jijistatic.com/117186351_MTExLTgzLTIwZTc2ZmJiNWI.webp | https://pictures-nigeria.jijistatic.com/117186353_MTExLTgzLTA4M2NhMzk3NDU.webp,Automatic,Air Conditioning | CD Player | AM/FM Radio | CarPlay | Alloy Wheels,mercy autos,https://jiji.ng/ikeja/cars/lexus-rx-350-4x4-2007-black-B4bAUhDEGh1A5Iyd0wb2aUUl.html,No faults,Lexus,RX,2007,350 4x4,SUV,All Wheel,3500           cc,6,276           hp,Black,5,,,Yes
